"food_name","unit","gram"
"Tepung Terigu","1 cup","150"
"Tepung Ketan Kering","1 cup","130"
"Tepung Ketan (baru ditumbuk)","1 cup","190"
"Tepung Sagu","1 cup","100"
"Tepung Beras Kering","1 cup","100"
"Tepung Beras (baru ditumbuk)","1 cup","150"
"Tepung Roti Kemasan","1 cup","150"
"Tepung Roti Kemasan","3/4 cup","70"
"Tepung Roti Kemasan","2/3 cup","65"
"Tepung Roti Kemasan","1/2 cup","50"
"Tepung Roti Kemasan","1/3 cup","25"
"Tepung Roti Kemasan","1/4 cup","20"
"Gula Pasir","1 cup","250"
"Gula Pasir","28 sendok","400"
"Gula Halus","1 cup","175"
"Gula Halus","3/4 cup","90"
"Gula Halus","2/3 cup","85"
"Gula Halus","1/2 cup","60"
"Gula Halus","1/3 cup","40"
"Gula Halus","1/4 cup","30"
"Gula Halus","1/8 cup","15"
"Gula Palem","1 cup","175"
"Margarine","1 cup","175"
"Mentega","1 cup","225"
"Mentega","3/4 cup","170"
"Mentega","2/3 cup","150"
"Mentega","1/2 cup","115"
"Mentega","1/3 cup","75"
"Mentega","1/4 cup","55"
"Buah Kering (sukade, kismis, dll)","1 cup","175"
"Tepung Maizena","1 cup","130"
"Tepung Kanji","1 cup","130"
"Bubuk Coklat","1 cup","100"
"Bubuk Coklat","3/4 cup","85"
"Bubuk Coklat","2/3 cup","75"
"Bubuk Coklat","1/2 cup","60"
"Bubuk Coklat","1/3 cup","40"
"Bubuk Coklat","1/4 cup","30"
"Sirup / Madu","1 cup","340"
"Sirup / Madu","3/4 cup","255"
"Sirup / Madu","2/3 cup","200"
"Sirup / Madu","1/2 cup","170"
"Sirup / Madu","1/3 cup","110"
"Sirup / Madu","1/4 cup","85"
"Susu Encer","1 cup","200"
"Air","1 cup","250"
"Gula Merah","1 sdm","15"
"Gula Pasir","1 sdm","15"
"Gula Halus","1 sdm","12"
"Gula Bubuk","1 sdm","10"
"Brown Sugar","1 sdm","10"
"Garam","1 sdm","10"
"Tepung Terigu","1 sdm","8"
"Tepung Terigu","20 sdm","160"
"Tepung Maizena","1 sdm","12"
"Tepung Tapioka","1 sdm","15"
"Tepung Beras","1 sdm","15"
